CSStudioFile,ID_EISVSFRQG,H4sIAAAAAAAEAL1W3VLbOBS+hhnewVddmKEZ+S+AZ3yRJg5kCpTFKbSdzGREIoK2thRkuUCnT9VH2CfbcyTbUWD3dnMTf5+Ozjk6Oj/61ie33ohq6o15wRLvhqmKS+H5PX9vdyiVmrJKe/dSebdcLOVTlXj5pTfMQ598CSJyEhyHfc+76ffinh+EpBcCiHqkF0S+T2JUkj8xtvbGij3WTCxeEm8ohVay8G5koemK7e2CeZZE7wP/fUAC0OZNeckSnyShnxDjRlkyofd2s+f1FVUlrRL4mr6sWToZzbNJfpOPr/88fff+3UBrJmpa5EynBPCkyq7ZX2yh06mqmSEm24RFF3LJzIapomI+Vo/zs9QnZIs5BwY1CK4BM7OOxJgLWhiG9IiPKqlYsfkZXz2kYQcv+DKNO3Qunxw0qLXMROo7wsJsNW75xkahmQKn4g24cMG5C6x3GI5RPs8ujQb8RD5ofDaCjWF7LM1WCg6CnNnRMXgb28wVU1wuLVfhhhEr6IuRa8K6IWIbRSamT3zR+JVzwQblepJGsYM+Q2SNzg+0YrhG2u9uZVKdg3A6pkWFViAZaFmZRMBwwfnyQq7ZRyM7fGCL741ue7eQyVeSC10ZOGLLeqFvuXL0SX1KuQ3IsFYKkq7DzVrwejHYyhvfpsVW5gQN51Bhlz0tEyHj4NhGqoV9Nw1897IDF4QuiFwQu6DvgiMD8BYh7Uz++SaaLhO8YcI3TJT2XzHxG6afHr9ijgxzQQV0gsZ4sE1Y2w4RvibsQR3CGnaI/mviyBDY8i4pJOkwmX2uoPPNSsHIsU9OotmIVd+1XM/O+dd6hn2JRH7s3UELeyip+m5aomLVWoqKzaDfxYsSOhFQM/gLBnNC/Dlum5NoHvhzn8xDMo/7Pf2sG8tXVD/8/5abZpqaaoLMais2p+W6YFjiqm1klkIZm5uXdXmHq/CZCXpXsMEzt9XXFlBHZJMfFZY/cJ8W6xta1FD6vfDkmBwFJ/HRyUkQx8aDHE6a/UCHWh1oD9ewxWMDsbX6w9R6ijPDXCBkya/Gi1vKdc4WUiwbHb9A77+QGyp7BgsohXWM2WhVmkggjVbe0J9E8TIRixY2SYwarFh/I5O9Etp4HRn9k+uNpwqbPDhEDGgiRUjnx3VdOJ4Zcw7zhVN5Jx+5jYTDCmRbDIkPQxH2WidCoGzxD+naIFAMQxm6WWVabescjCkrt4kB+3j2c5sb8RXXMHJLKfWDcxjDn1+Nh7KG28V4Y+82c9IGYSWkMrg1B5mSa3gLdARMEU0v6DMsYDuEK8yaSf3r3akCvUsuVh0Dw0E+5WvGlo2Dm2yw4Rl+3Ziq9brW3VYL7aAzqT5kRWEzbqAYTbHK8Drhu9szYqLi+iU96h0jgsgWEPZVGiA0RYBS15m9UvyeMphERlEO7ok06Hc5vLnhU6aNXOupXTfH6rhrCWGCo1s2tDP9P55Ek6rCMgbpttKtxitaV5vCbThZUNWKDV8WBavM3Bmxe1oXOmtq0YBJSg7B5ETcy6QZh/vl4ACm9uEA7el6yZBIovgQ30ycFs4j0Iy/Q/N0cljsO4d2RCd9Ak/HWt3TBfMw7om3+eF1wLPRXoC7YH5wIXu7twzeX/rNmhfAGhrcP/t5sIOO7g8Odj5wWu3fHOxgAuxDizjY+fbH/qeHsrco//6NwEWno51MqR1TSvAkFUuvaanVP1oQyANMCwAA
Freq(Hz)	Ampl(A)	Bias(V)	Time(Sec)	Z'(Ohm.cm²)	Z''(Ohm.cm²)	|Z|(Ohm.cm²)	Phase	Range
2.26951E+01	0.0450000017881393	1.78178882598877	1.02495E+02	1.11972E-01	-8.66702E-03	1.12307E-01	-4.42606	0
1.79572E+01	0.0450000017881393	1.78178882598877	1.04937E+02	1.12386E-01	-8.17186E-03	1.12683E-01	-4.15878	0
1.42083E+01	0.0450000017881393	1.78178882598877	1.07617E+02	1.13426E-01	-7.48849E-03	1.13673E-01	-3.77722	0
1.12421E+01	0.0450000017881393	1.78178882598877	1.10686E+02	1.14632E-01	-6.76624E-03	1.14831E-01	-3.37801	0
8.89514E+00	0.0450000017881393	1.78178882598877	1.15083E+02	1.16085E-01	-6.74207E-03	1.16281E-01	-3.32393	0
7.03814E+00	0.0450000017881393	1.78178882598877	1.19702E+02	1.16459E-01	-6.27560E-03	1.16628E-01	-3.0845	0
5.56882E+00	0.0450000017881393	1.78178882598877	1.24745E+02	1.16820E-01	-5.86467E-03	1.16968E-01	-2.87397	0
4.40624E+00	0.0450000017881393	1.78178882598877	1.31044E+02	1.17864E-01	-4.96874E-03	1.17969E-01	-2.41396	0
3.48637E+00	0.0450000017881393	1.78178882598877	1.37760E+02	1.20269E-01	-5.01670E-03	1.20374E-01	-2.38855	0
2.75853E+00	0.0450000017881393	1.78178882598877	1.45315E+02	1.20149E-01	-5.28957E-03	1.20266E-01	-2.52081	0
2.18265E+00	0.0450000017881393	1.78178882598877	1.53695E+02	1.20073E-01	-4.30597E-03	1.20150E-01	-2.05381	0
1.72698E+00	0.0450000017881393	1.78178882598877	1.63422E+02	1.20606E-01	-4.73857E-03	1.20699E-01	-2.24997	0
1.36645E+00	0.0450000017881393	1.78178882598877	1.74648E+02	1.19720E-01	-4.29667E-03	1.19797E-01	-2.05542	0
1.08118E+00	0.0450000017881393	1.78178882598877	1.87736E+02	1.22625E-01	-3.53254E-03	1.22675E-01	-1.65011	0
8.55468E-01	0.0450000017881393	1.78178882598877	2.01384E+02	1.22527E-01	-3.65382E-03	1.22582E-01	-1.70808	0
6.76875E-01	0.0450000017881393	1.78178882598877	2.17458E+02	1.22299E-01	-2.37215E-03	1.22322E-01	-1.11118	0
5.35567E-01	0.0450000017881393	1.78178882598877	2.36567E+02	1.22356E-01	-3.08654E-03	1.22395E-01	-1.44503	0
4.23759E-01	0.0450000017881393	1.78178882598877	2.50249E+02	1.22179E-01	-3.01309E-03	1.22216E-01	-1.4127	0
3.35293E-01	0.0450000017881393	1.78178882598877	2.66399E+02	1.23422E-01	-3.88157E-03	1.23483E-01	-1.80133	0
2.65295E-01	0.0450000017881393	1.78178882598877	2.85682E+02	1.24009E-01	-2.52734E-03	1.24035E-01	-1.16754	0
2.09910E-01	0.0450000017881393	1.78178882598877	3.08968E+02	1.24999E-01	-2.35193E-03	1.25022E-01	-1.07792	0
1.66088E-01	0.0450000017881393	1.78178882598877	3.37284E+02	1.23785E-01	-1.90613E-03	1.23800E-01	-0.88221	0
1.31415E-01	0.0450000017881393	1.78178882598877	3.64328E+02	1.22669E-01	-1.06782E-03	1.22674E-01	-0.49874	0
1.03980E-01	0.0450000017881393	1.78178882598877	3.97428E+02	1.23449E-01	-2.84714E-03	1.23482E-01	-1.32119	0
8.22724E-02	0.0450000017881393	1.78178882598877	4.38148E+02	1.24582E-01	-1.08337E-03	1.24586E-01	-0.498235	0
6.50968E-02	0.0450000017881393	1.78178882598877	4.88476E+02	1.23122E-01	-3.22077E-03	1.23165E-01	-1.49846	0
5.15068E-02	0.0450000017881393	1.78178882598877	5.51004E+02	1.22753E-01	-4.44620E-03	1.22833E-01	-2.07439	0
4.07539E-02	0.0450000017881393	1.78178882598877	5.81248E+02	1.19763E-01	-7.26820E-03	1.19983E-01	-3.47292	0
3.22459E-02	0.0450000017881393	1.78178882598877	6.17818E+02	1.26751E-01	-6.35912E-03	1.26910E-01	-2.87213	0
2.55141E-02	0.0450000017881393	1.78178882598877	6.62609E+02	1.22938E-01	-8.53684E-03	1.23234E-01	-3.97226	0
2.01876E-02	0.0450000017881393	1.78178882598877	7.17689E+02	1.25190E-01	-7.79503E-03	1.25432E-01	-3.56297	0
1.59731E-02	0.0450000017881393	1.78178882598877	7.85855E+02	1.27221E-01	-7.64620E-03	1.27451E-01	-3.43943	0
1.26385E-02	0.0450000017881393	1.78178882598877	8.70575E+02	1.28103E-01	-9.14655E-03	1.28430E-01	-4.08397	0
1.00000E-02	0.0450000017881393	1.78178882598877	9.76143E+02	1.30584E-01	-8.59059E-03	1.30867E-01	-3.76382	0
